1376;6588;47;;It's good to see you doing the rounds.&Welcome.;E' bello vederti in giro. Benvenuto.;;
1392;6640;57;;This is the command room.&Use it to structure your squad.;Questa > la sala comando. Usala per strutturare la tua&squadra.;;
1408;6704;58;;You'll have access to both drafted and volunteer recruits.;Avrai accesso sia alle reclute arruolate che a quelle&volontarie.;;
1424;6768;98;;Now that I think of it, Squad 7 is still short on soldiers,&isn't it? I'll explain how this works.;Ora che ci penso, la Squadra 7 > ancora a corto di&soldati, non > vero? Spieghero' come funziona.;;
1440;6872;92;;This is the master list. The recruits have all&been assigned classes based on their talents.;Questa > la lista principale. A tutte le reclute sono&state assegnate classi in base ai loro talenti.;;
1456;6972;65;;I should probably touch on the five classes,&just so we're clear.;Probabilmente dovrei soffermarmi sulle cinque classi,&giusto per essere chiari.;;
1472;7044;82;;First off, you have the scouts.&Just like the name suggests, they'll be your eyes.;Per prima cosa, ci sono gli scout. Proprio come suggerisce&il nome, saranno i tuoi occhi.;;
1488;7132;93;;Their best asset is their mobility.&They can go out, collect intel, then make it back safely.;La loro risorsa migliore > la mobilit=: possono uscire,&raccogliere informazioni e poi tornare sani e salvi.;;
1504;7232;97;;That, and a keen eye for enemies. A good&scout can spot a man in tall grass from a hundred yards.;Questo, e un occhio attento per i nemici. Un bravo esplorat-&re puo' individuare un uomo nell'erba alta da cento metri.;;
1520;7336;89;;That comes at the price of firepower.&Their job is spotting enemies, not taking them out.;Tutto cio' ha un costo in termini di potenza di fuoco. Il&loro compito > individuare i nemici, non eliminarli.;;
1536;7432;86;;Next up, the shocktrooper.&They're the ones to break through enemy lines and clean up.;Poi tocca agli Shocktrooper. Sono loro a sfondare le linee&nemiche e a fare piazza pulita.;;
1552;7524;92;;They offer excellent offense and defense.&As far as combat goes, they're as good as it gets.;Offrono un attacco e una difesa eccellenti. E per quanto&riguarda il combattimento, sono il massimo.;;
1568;7624;90;;While they lack any specialized techniques,&they also don't have any obvious shortcomings.;Sebbene non dispongano di tecniche specializzate, non&presentano nemmeno difetti evidenti.;;
1584;7720;66;;Think of them as the least finicky unit in your squad,&Lieutenant.;Considerali l'unit= meno schizzinosa della tua squadra,&tenente.;;
1600;7792;95;;After them, we have lancers, the anti-tank units.&They're critical when facing armored targets.;Dopo di loro abbiamo i lancieri, le unit= anticarro. Sono&fondamentali quando si affrontano bersagli corazzati.;;
1616;7892;93;;Their purpose is pretty self-explanatory.&In most cases, they're the only way to stop a tank.;Il loro scopo > abbastanza autoesplicativo.&Nella maggior parte dei casi, sono l'unico modo per fermare un carro armato.;;
1632;7992;85;;They're also well shielded from explosives,&which conveniently includes tank mortars.;Sono anche ben protetti dagli esplosivi, tra cui rientrano&anche i mortai dei carri armati.;;
1648;8084;92;;Sadly, they're slow and weak to gunfire.&Their limited ammo could also be called a drawback.;Purtroppo sono lenti e deboli al fuoco nemico.&Anche le munizioni limitate potrebbero essere considerate uno svantaggio.;;
1664;8184;87;;Changing gears, we have the engineers.&They handle supplies and perform combat support.;Cambiando argomento, abbiamo gli ingegneri. Si occupano&delle forniture e forniscono supporto al combattimento.;;
1680;8276;88;;They can restock other units' ammunitions,&treat the wounded, even repair tanks on-site.;Possono rifornire le munizioni delle altre unit=, curare i&feriti e perfino riparare i carri armati sul posto.;;
1696;8372;76;;They can place sandbags for cover, disarm mines,&repair towers, you name it.;Possono piazzare sacchi di sabbia per ripararsi,&disinnescare mine, riparare torri e molto altro.;;
1712;8456;78;;Their actual combat skills are very low.&Think of them as combat facilitators.;Le loro reali capacit= di combattimento sono molto scarse.&Considerateli come facilitatori del combattimento.;;
1728;8540;86;;Lastly, we have the snipers. They can shoot&down targets from a considerable distance.;Infine, abbiamo i cecchini. Possono sparare&abbattere&bersagli da una distanza considerevole.;;
1744;8632;97;;You won't find better soldiers for marksmanship and range.&They can hit targets I can barely see.;Non troverete soldati migliori per abilit= di tiro e gittata.&Possono colpire bersagli che riesco a malapena a vedere.;;
1760;8736;86;;Sniping rifles also come with scopes that&work to augment a sniper's natural eyesight.;I fucili da cecchino sono dotati anche di mirini che&migliorano la vista naturale del cecchino.;;
1776;8828;91;;Drawbacks include low mobility and defense.&If the enemy gets them alone, they're done for.;Gli svantaggi includono scarsa mobilit= e scarsa difesa.&Se il nemico li prende da soli, sono spacciati.;;
1792;8924;29;;That should cover the basics.;Questo dovrebbe coprire le nozioni di base.;;
1808;8960;99;;Go ahead and put a squad together now.&There's room for twenty, and you can swap units at any time.;Forza, metti insieme una squadra adesso. C'> spazio per&venti persone e puoi cambiare unit= in qualsiasi momento.;;
1824;9064;92;;Well? Feel like you've struck a balance?&Come back any time you'd like to adjust your squad.;Bene? Pensi di aver trovato un equilibrio? Torna ogni&volta che vuoi per modificare la tua squadra.;;
1840;9164;85;;As time passes, we'll have more recruits to choose from,&so keep an eye on that list.;Con il passare del tempo avremo piu' reclute tra cui&scegliere, quindi tenete d'occhio la lista.;;
1856;9256;87;;Oh, and all the recruits go through training&together, so they're all ready for combat.;Oh, e tutte le reclute si addestrano insieme, cosi sono&pronte a combattere.;;
1872;9348;81;;They'll be at the same level as the&rest of the team you've taken into the field.;Saranno allo stesso livello del resto della squadra che&hai portato in campo.;;
1888;9436;85;;You can swap out members without the worry of&losing the benefit of their experience.;Puoi sostituire i membri senza preoccuparti di perdere i&vantaggi della loro esperienza.;;
1904;9528;75;;Trust in your own judgment and pick a team you&know you can work well with.;Fidati del tuo giudizio e scegli un team con cui sai di&poter lavorare bene.;;
1920;9608;80;;That should be enough to get you started.&You can figure out the rest as you go.;Questo dovrebbe essere sufficiente per iniziare. Il resto&lo scoprirai strada facendo.;;
1936;9696;44;;Wow!&Squad leader's a lot of responsibility.;Wow! E il caposquadra ha un sacco di responsabilit=.;;
1952;9748;59;;Come to think of it, Faldio's heading up Squad 1,&isn't he?;A pensarci bene, Faldio > a capo della Squadra 1, non >&vero?;;
1968;9812;83;;I wonder if he's off sorting through this stuff now, too.&I'd better get a move on.;Chiss= se anche lui adesso sta sistemando questa roba.&Meglio sbrigarmi.;;
1984;9900;44;;Hello, Welkin.&Here to fine-tune your squad?;Ciao Welkin. Sei qui per mettere a punto la tua squadra?;;
2000;9952;85;;Oh, and there have been some new recruits.&You should take a look at the master list.;Oh, e ci sono state alcune nuove reclute. Dovresti dare&un'occhiata all'elenco principale.;;
2016;10044;62;;Come back any time you need to change your lineup,&Lieutenant.;Torna ogni volta che hai bisogno di cambiare la tua&formazione, Tenente.;;
2032;10112;65;;Hi, I'm Alex Raymond!&I look forward to serving with you, Welkin!;Ciao, sono Alex Raymond! Non vedo l'ora di lavorare con&te, Welkin!;;
2048;10184;64;;Thanks for everything, Welkin!&Just gimme a call if you need me!;Grazie di tutto, Welkin! Chiamami se hai bisogno!;;
2064;10256;58;;H-hello, I'm Kevin... Kevin Abbott.&Pleased to meet you...;C-ciao, sono Kevin... Kevin Abbott.&Piacere di&conoscerti...;;
2080;10320;49;;Th-Thanks for... everything.&I'll be going now...;Grazie... per tutto. E ora vado...;;
2096;10376;78;;Name's Coby Caird, boyo!&Looks to me like we're gonna see a lot of each other!;Mi chiamo Coby Caird, amico! E mi sembra che ci vedremo&molto spesso!;;
2112;10460;77;;You got my mark, kid!&You ever need a relic like me again, just gimme a call!;Hai il mio marchio, ragazzo! Se hai ancora bisogno di una&reliquia come me, chiamami!;;
2128;10544;32;;Salinas Milton, at your service.;Salinas Milton, al vostro servizio.;;
2144;10584;39;;This was a good squad.&So long, Welkin.;Questa era una buona squadra. Addio, Welkin.;;
2160;10628;41;;Hannes Salinger!&Reporting for duty, sir!;Hannes Salinger! A rapporto, signore!;;
2176;10676;63;;Thanks for everything, Mr. Gunther, sir!&Call me if I can help!;Grazie di tutto, signor Gunther! Mi chiami se posso&aiutarla!;;
2192;10744;64;;Hello, I'm Mica Hawkins.&I'll be serving under you from here on.;Salve, sono Mica Hawkins e da ora in poi saro' al vostro&servizio.;;
2208;10816;70;;I enjoyed my time with you.&If I can be of help in the future, do ask.;Mi sono divertito molto con te. Se in futuro posso esserti&utile, chiedi pure.;;
2224;10892;63;;The name's Vyse Inglebard!&Let's go kick this war in the teeth!;Il mio nome > Vyse Inglebard! Andiamo a dare un calcio nei&denti a questa guerra!;;
2240;10960;75;;You're a good man, Welkin! Anytime you need me,&call and I'll come runnin'!;Sei un brav'uomo, Welkin! Ogni volta che hai bisogno di&me, chiamami e correro'!;;
2256;11040;64;;Hello! My name is Lynn.&I look forward to working with you, sir.;Salve! Mi chiamo Lynn e non vedo l'ora di lavorare con te,&signore.;;
2272;11112;83;;I appreciate all you've done for me, sir.&Do let me know if I can help in some way.;La ringrazio per tutto quello che ha fatto per me, signore.-&E mi faccia sapere se posso aiutarla in qualche modo.;;
2288;11200;42;;I'm Wendy Cheslock...&Hee hee... Kaboom...;Sono Wendy Cheslock...&Hee hee... Kaboom...;;
2304;11248;38;;What... It's over?&Oh... That's sad...;Cosa... E' finita? Oh... Che tristezza...;;
2320;11292;80;;I'm Edy Nelson. Perhaps you've heard of me?&I'm sure we'll get along swimmingly!;Sono Edy Nelson. Forse hai sentito parlare di me?&Sono&sicuro che andremo d'accordo alla grande!;;
2336;11380;80;;Y-You know, I could be persuaded to help again...&If you ever needed me, I mean.;Q-sai, potrei essere convinto ad aiutarti di nuovo... e se&mai avessi bisogno di me, intendo.;;
2352;11468;52;;Hi, I'm Aisha Neumann!&Nice to meet you, Mr. Welkin!;Salve, sono Aisha Neumann! Piacere di conoscerla, signor&Welkin!;;
2368;11528;59;;Thanks for everything, Mr. Welkin!&You can call me anytime!;Grazie di tutto, signor Welkin! Puo' chiamarmi quando vuole!;;
2384;11592;75;;The name's Jane Turner.&I'll do anything if it means putting holes in Imps.;Il mio nome > Jane Turner e sono disposta a tutto pur di&fare buchi negli Imp.;;
2400;11672;83;;Rgh! Kicked out with so much left to do...&Look, gimme a call if you need ANYthing.;Rgh! Cacciato via con cosi tante cose ancora da&fare...&Guarda, chiamami se hai bisogno di QUALCOSA.;;
2416;11760;56;;H-Hello there, I'm Dorothy!&I'll, uh... I'll do my best!;C-Ciao, sono Dorothy! E io, uh... faro' del mio meglio!;;
2432;11824;76;;I'm kind of relieved to be leaving.&O-oh, but I'll come back if you need me.;Sono in un certo senso sollevato di andarmene.&O-oh, ma&tornero' se avrai bisogno di me.;;
2448;11908;72;;The name's Nina Streiss,&and I look forward to a good workout out there!;Mi chiamo Nina Streiss e non vedo l'ora di allenarmi!;;
2464;11988;78;;Thanks for the good times, boss!&I'll stay in shape in case you need me again!;Grazie per i bei momenti, capo! E mi manterro' in forma nel&caso avessi di nuovo bisogno di me!;;
2480;12072;87;;I'm Musaad Mayfield. Good to meet ya!&Now that I'm here, ya'll got this one in the bag!;Sono Musaad Mayfield. E' un piacere conoscerti! E ora che&ci sono, ce l'avete fatta!;;
2496;12164;76;;You ain't half bad, kid!&Just lemme know if you ever need me to bail ya out!;Non sei niente male, ragazzo! E fammi sapere se mai&dovessi aver bisogno che ti tiri fuori dai guai!;;
2512;12248;70;;I'm Hermes Kissinger.&With me here, your squad'll get twice the girls.;Sono Hermes Kissinger. Con me qui, la tua squadra avr= il&doppio delle ragazze.;;
2528;12324;73;;See you later, boss,&and sorry if all the ladies leave now that I'm gone.;Ci vediamo dopo, capo, e scusami se tutte le ragazze se ne&vanno ora che me ne sono andato.;;
2544;12404;56;;Hey, Welkster, I'm Melville Young!&I'll do my best, man!;Ciao, Welkster, sono Melville Young! E faro' del mio&meglio, amico!;;
2560;12468;85;;I'll never forget you guys, Welk-man!&Just say the word if there's anything I can do!;Non vi dimentichero' mai, Welk-man! Se c'> qualcosa che&posso fare, ditelo pure!;;
2576;12560;80;;Thank you, hello! I'm Ted Ustinov,&and I've got some great new material for you!;Grazie, ciao! Sono Ted Ustinov e ho del nuovo materiale&fantastico per te!;;
2592;12648;69;;Thank you, thank you!&You're a wonderful audience! I'm here all week!;Grazie, grazie!&Siete un pubblico meraviglioso! Sono qui&tutta la settimana!;;
2608;12724;59;;Please, call me Wavy.&From today onward, we fight together.;Per favore, chiamami Wavy. Da oggi in poi combatteremo&insieme.;;
2624;12788;87;;You've taught me quite a lot, sir.&If I can be of service again, don't hesitate to ask.;Mi ha insegnato molto, signore. Se posso esserle utile&ancora, non esiti a chiederlo.;;
2640;12880;38;;Hey! I'm Montley Leonard! How goes it?;Ciao! Sono Montley Leonard! Come va?;;
2656;12924;43;;Okay, great! Later! Call me if you need me!;Ok, ottimo! A dopo! Chiamami se hai bisogno di me!;;
