180;608;82;;All right. It's our first mission.&Let's split into two teams: city and riverside.;Bene. E' la nostra prima missione.&Dividiamoci in due squadre: citt= e riva del fiume.
196;696;77;;I'll lead the riverside team towards the&enemy encampment with the Edelweiss.;Condurro' la squadra lungo il fiume verso&l'accampamento nemico con l'Edelweiss.
212;780;43;;Shocktrooper here. Leave the offense to me.;Qui Shocktrooper. Lasciate l'offesa a me.
228;828;81;;City team, your job is to guard the base.&Be ready for anything, including tanks.;Squadra cittadina, il vostro compito > sorvegliare la base.& Siate pronti a tutto, compresi i carri armati.
244;916;81;;City team, your job is to guard the base.&Be ready for anything, including tanks.;Squadra cittadina, il vostro compito > sorvegliare la base.& Siate pronti a tutto, compresi i carri armati.
260;1004;75;;How long you think I been an anti-tank man?&Couple of tanks ain't no sweat!;Da quanto tempo pensi che io sia un uomo anticarro?&Un paio di carri armati non sono niente male!
276;1084;75;;How long you think I been an anti-tank man?&Couple of tanks ain't no sweat!;Da quanto tempo pensi che io sia un uomo anticarro?&Un paio di carri armati non sono niente male!
292;1164;46;;That's the spirit, Largo.&Now, let's move out!;Questo > lo spirito giusto, Largo.&E ora muoviamoci!
308;1216;46;;That's the spirit, Largo.&Now, let's move out!;Questo > lo spirito giusto, Largo.&E ora muoviamoci!
324;1268;56;;Gah!&Damn tank's busted right through the stinkin' wall!;Cavolo!&Quel maledetto carro armato ha sfondato quel maledetto muro!
340;1332;62;;Well, it's my turn now! &Stick this in your pipe and smoke it!;Bene, ora tocca a me!&Mettiti questo nella pipa e fumalo!
356;1400;89;;Stay sharp: tanks can break through crumbling walls,&and trample down sandbags and trees.;Siate attenti: i carri armati possono sfondare muri&pericolanti e calpestare sacchi di sabbia e alberi.
372;1496;89;;Stay sharp: tanks can break through crumbling walls,&and trample down sandbags and trees.;Siate attenti: i carri armati possono sfondare muri&pericolanti e calpestare sacchi di sabbia e alberi.
388;1592;74;;Ha HA! Your tanks ain't the only ones that&can take a moldy old wall down!;Ah ah ah! I tuoi carri armati non sono gli unici in&grado di abbattere un vecchio muro ammuffito!
404;1672;59;;Take down too many walls and you'll lose all&of your cover!;Se abbatti troppi muri perderai tutta&la tua copertura!
420;1736;62;;Eh, get off my back!&I'm just improvin' the view here, junior!;Eh, levati di torno!&Sto solo migliorando la visuale, ragazzo!
436;1804;599;; &          About Occupying Camps& &Camps, found across the battlefield, grant&your forces a number of advantages.& &Units stationed near camps get a boost to&their defense and to the amount of HP&recovered at the start of each turn.&Even tanks, which usually get no HP bonus,&will regain some HP at each turn's start.& &Weapons with limited ammo like grenades,&mortars and lances are also replenished.& &If there are enemy units around a camp,&however, you cannot occupy it until they&have been defeated.&Effectively defending your camps while&taking down the enemy's will pave your&way to victory.;&Info sull'occupazione degli accampamenti& &Gli accampamenti, sparsi sul campo di&battaglia, garantiscono alle tue forze&una serie di vantaggi.& &Le unit= di stanza vicino agli&accampamenti ottengono un potenziamento&alla loro difesa e alla quantit= di HP&recuperati all'inizio di ogni turno.& &Anche i carri armati, che solitamente non&ottengono alcun bonus HP,recupereranno&un po' di HP all'inizio di ogni turno.& &Anche le armi con munizioni limitate come&granate,mortai e lance&vengono ripristinate.& &Se ci sono unit= nemiche intorno a un&accampamento, tuttavia, non puoi occuparlo&finch< non saranno state sconfitte.&Difendere efficacemente i tuoi&accampamenti mentre distruggi quelli&nemici ti spianer= la strada&verso la vittoria.
452;2408;543;; &            About Leader Units& &A CP symbol is displayed beside the names&of some units on their profile window.& &These units are known as leaders, and they&exist among both allied and enemy forces.&In Squad 7, Alicia is one such leader.&By including them on the field they'll&each add one CP to your total, allowing&you to control more units per turn.&If a leader is defeated, however,&that CP is subtracted from the pool.& &Keep your leader units protected while&actively seeking out and destroying&enemy leaders to reduce their CP pool.;&Info sulle unit= leader& &Un simbolo CP viene visualizzato accanto&ai nomi di alcune unit= nella finestra&del loro profilo.& &Queste unit= sono note come leader e&esistono sia tra le forze alleate&che tra quelle nemiche.&Nella Squadra 7, Alicia > una&di queste leader.&Includendole sul campo, ognuna di esse&aggiunger= un CP al tuo totale,&permettendoti di controllare piu' unit=&per turno.&Se un leader viene sconfitto, tuttavia,&quei CP vengono sottratti dal pool.& &Proteggi le tue unit= leader mentre cerchi&e distruggi attivamente i leader nemici&per ridurre il loro pool di CP.& &Mantieni protette le tue unit= leader&mentre cerchi e distruggi i leader nemici&per ridurre il loro pool di CP.
468;2956;548;;" &               About Orders& &As Squad 7's leader, Welkin is able to&issue special commands called ""orders.""& &Orders cost CP to use, but some yield&squad-wide effects that can be invaluable&when used wisely.&To issue an order, open the menu in&Command Mode by pressing the � button,&then select ""Orders.""&Choose a specific order you'd like to&issue. Some orders will affect all units,&others require you to select a target.&New orders can be learned by leveling up&your unit classes on the training field.&They'll make the battles ahead easier.";"&Info sugli ordini& &Come leader della Squadra 7, Welkin > in&grado di emettere comandi speciali&chiamati ""ordini"".& &Gli ordini costano CP per essere&utilizzati, ma alcuni producono effetti&per tutta la squadra che possono essere&inestimabili se usati saggiamente.&Per emettere un ordine, apri il menu in&Modalit= comando premendo il pulsante �,&quindi seleziona ""Ordini"".&Scegli un ordine specifico che desideri&emettere. Alcuni ordini influenzeranno&tutte le unit=, altri richiedono di&selezionare un bersaglio.&I nuovi ordini possono essere appresi&aumentando di livello le tue classi di&unit= sul campo di addestramento.&Renderanno piu' facili le&battaglie future."
484;3512;21;;About Terrain Actions;Info sulle azioni del terreno
500;3540;318;;Near some locations on the battlefield,&special actions will become available by&pressing Enter as specified.&For example, units walking through grass&can select Crawl to hide within it, out of&view from enemy attackers.&Also, climbing a ladder can allow the&unit roof access. Keep an eye out for&other useful actions.;Vicino ad alcune posizioni sul campo di&battaglia, saranno disponibili azioni&speciali premendo Invio come specificato.&Ad esempio, le unit= che camminano nell'&erba possono selezionare Strisciare per&nascondersi al suo interno, fuori dalla&vista degli attaccanti nemici. Inoltre,&salire su una scala puo' consentire&all'unit= di accedere al tetto.&Tieni d'occhio altre azioni utili.
516;3864;12;;About Medics;Info sui medici
532;3884;441;;Units whose HP have reached zero fall to&the ground in critical condition and&cannot be controlled using CP.&Leaving a unit in this state for three&turns, or allowing an enemy to touch them,&results in their being incapacitated.&Except in very few exceptional cases,&this means that the soldier is dead and&unable to be used again.&In order to prevent this, an&ally must make contact with the downed&unit before this tragic end befalls them.;Le unit= i cui HP hanno raggiunto lo zero&cadono a terra in condizioni critiche e&non possono essere controllate tramite CP&Lasciare un'unit= in questo stato per&tre turni o consentire a un nemico di&toccarla comporta la sua incapacit=.&Tranne in pochissimi casi eccezionali, cio&significa che il soldato > morto e non&puo' essere piu' utilizzato. Per evitare&cio', un alleato deve entrare in contatto&con l'unit= abbattuta prima che questa&tragica fine tocchi anche lei.
548;4332;121;;When a unit reaches an ally in critical&condition, they call the medic, who safely&evacuates and restores them to health.;Quando un'unit= raggiunge un alleato in&condizioni critiche, chiama il medico,&che lo evacua in sicurezza e lo&rimette in salute.
564;4460;0;; &             About Ammunition& &Each weapon holds a set quantity of ammo.&That equates to the number of times that&weapon can be fired in battle.;&Info sulle munizioni& &Ogni arma contiene una quantit= di&munizioni stabilita. Cio' equivale al&numero di volte in cui quell'arma puo'&sparare in battaglia.
