884;4128;86;;Thanks to the victory at Naggiar,&our forces have pushed the enemy back to the border.;Grazie alla vittoria di Naggiar, le nostre forze hanno&respinto il nemico fino al confine.;
900;4220;67;;The Imperials are currently holed up in the&citadel at Ghirlandaio.;Gli Imperiali sono attualmente asserragliati nella&cittadella del Ghirlandaio.;
916;4292;14;;Ghirlandaio...;Ghirlandaio...;
932;4312;0;;A crucial checkpoint along the commerce&routes tying Gallia to the east since &midievel times, the pass at Ghirlandaio&had been fortified for ages.;Un punto di controllo cruciale lungo il commercio&rotte che collegano la Gallia all'oriente fin dal&medioevo, il passo del Ghirlandaio&era stata fortificata per secoli.;
948;4464;0;;The existing structure was rebuilt as a&modern fortress during the First Europan&War, and its grounds were littered with&the casualties of war.;La struttura esistente > stata ricostruita come&fortezza moderna durante il primo Europan&Guerra, e i suoi terreni erano disseminati di&le vittime della guerra.;
964;4612;0;;"In the current war, it housed the Empire's&command center, and now it stood as their&final stronghold.&&       Irene Koller, ""On the Gallian Front""7";"Nella guerra attuale, ospitava l'Impero&centro di comando, e ora si ergeva come il loro&roccaforte finale.&&       Irene Koller, ""On the Gallian Front""7";
980;4764;55;;What's our strategy for attacking the citadel, Captain?;Qual > la nostra strategia per attaccare la cittadella,&capitano?;
996;4824;73;;Hmm... I still haven't received any details&on our orders from above yet.;Hmm... Non ho ancora ricevuto alcun dettaglio sui nostri&ordini dall'alto.;
1012;4904;75;;Oh, stop your worrying, Varrot.&I came here myself to give you your orders.;Oh, smettila di preoccuparti, Varrot. Sono venuto qui&personalmente per darti ordini.;
1028;4984;62;;General Damon? I'm honored,&but why not just send a messenger?;Generale Damon? Sono onorato, ma perch< non mandare&semplicemente un messaggero?;
1044;5052;57;;Your regiment really showed 'em up,&out there at Naggiar.;Il tuo reggimento li ha davvero messi a dura prova, l= a&Naggiar.;
1060;5116;87;;In return, I'm granting you the honor of&assaulting the citadel at the van of the army.;In cambio, ti concedo l'onore di assaltare la cittadella&all'avanguardia dell'esercito.;
1076;5208;7;;...Sir.;...Signore.;
1092;5220;69;;Here are your orders.&There's a supply line running into the citadel.;Ecco i tuoi ordini. C'> una linea di rifornimento che&arriva fino alla cittadella.;
1108;5296;86;;We're sending a train car loaded down with&explosives along it to blow us an entrance.;Stiamo inviando un vagone ferroviario carico di esplosivi&per farci saltare un ingresso.;
1124;5388;83;;The militia will run along the track ahead of it,&flipping the right rail switches.;La milizia correr= lungo i binari davanti a s<, azionando&gli scambi ferroviari giusti.;
1140;5476;28;;Flipping rail switches, sir?;Sta azionando gli scambi ferroviari, signore?;
1156;5512;83;;This while dodging a hailstorm of bullets?&That sounds like a suicide mission, sir.;E tutto questo mentre si schiva una grandinata di&proiettili? Sembra una missione suicida, signore.;
1172;5600;89;;Bah ha ha! What are you talking about?&It's the perfect challenge for your fearless crew!;Bah ha ha! Di cosa stai parlando? E' la sfida perfetta per&il tuo equipaggio impavido!;
1188;5696;77;;If we succeed here, the Empire will finally&be forced out of Gallia for good.;Se avremo successo, l'Impero sar= definitivamente&costretto ad abbandonare la Gallia.;
1204;5780;60;;You'll pave the way for the real army.&You got that, Varrot?;Aprirai la strada al vero esercito. Hai capito, Varrot?;
1220;5848;6;;......;......;
1236;5860;68;;Damn it!&Another mission they don't have the guts to do themselves?!;Dannazione! Un'altra missione che non hanno il coraggio di&fare da soli?!;
1252;5936;61;;...Maybe,&but it's a mission that somebody still needs to do.;...Forse, ma > una missione che qualcuno deve ancora&portare a termine.;
1268;6004;83;;Precisely. As the general said, if we win,&the Empire will be driven out of Gallia.;Esattamente. Come ha detto il generale, se vinciamo,&l'Impero sar= cacciato dalla Gallia.;
1284;6092;77;;Let this be our final battle.&I'll await good news from the field. Dismissed!;Che questa sia la nostra battaglia finale. Attendero' buone&notizie dal campo. Congedato!;
1300;6176;6;;......;......;
1316;6188;35;;It hurts... Mother, where are you?!;Mi fa male... Mamma, dove sei?!;
1332;6228;7;;Mother!;Madre!;
1348;6240;30;;Mother, where are you? Mother!;Mamma, dove sei? Mamma!;
1364;6276;29;;Hey! There's a survivor here!;Ehi! C'> un sopravvissuto qui!;
1380;6312;75;;It's too late for the mother!&Come on, we've got to get the child out, now!;E' troppo tardi per la madre! Forza, dobbiamo tirare fuori&il bambino, subito!;
1396;6392;7;;Mother!;Madre!;
1412;6404;7;;Sire...;Sire...;
1428;6416;13;;Your Grace...;Vostra Grazia...;
1444;6436;42;;Hmph... That incident grows old and stale.;Hmph... Quell'incidente sta diventando vecchio e stantio.;
1460;6484;44;;Selvaria, what news have you from the front?;Selvaria, che novit= hai dal fronte?;
1476;6536;112;;Sire. They seek to push our soldiers past the border. &And the total of their forces approach those of our own. ;Sire. Vogliono spingere i nostri soldati oltre il confine.&E il totale delle loro forze si avvicina a quello delle nostre.;
1492;6656;8;;I see...;Vedo...;
1508;6672;56;;The advantage now begins to sway towards the other side.;Ora il vantaggio comincia a pendere dalla parte opposta.;
1524;6736;94;;It seems the loss at Naggiar has ended our hopes of &strolling through the gates of Randgriz. ;Sembra che la sconfitta di Naggiar abbia messo fine alle&nostre speranze di varcare i cancelli di Randgriz.;
1540;6836;23;;The fault lies with me!;La colpa > mia!;
1556;6864;45;;This would be over had I but won at Naggiar. ;Tutto questo sarebbe finito se solo avessi vinto a Naggiar.;
1572;6916;47;;Your Grace, grant me another chance, I beg you!;Vostra Grazia, vi prego, concedetemi un'altra possibilit=!;
1588;6968;46;;Please allow me to fight for your glory, Sire!;Per favore, Sire, permettimi di combattere per la tua&gloria!;
1604;7020;6;;Hmm...;Hmm...;
1620;7032;16;;Dear Selvaria...;Cara Selvaria...;
1636;7056;32;;Do you truly wish to be of help?;Vuoi davvero essere d'aiuto?;
1652;7096;24;;Yes!&More than anything!;Si! E piu' di ogni altra cosa!;
1668;7128;100;;From the time you save me Your Grace... I've...&known... that I love you more than I do my own life.;Da quando mi hai salvato, Vostra Grazia... ho...&saputo...&che ti amo piu' della mia stessa vita.;
1684;7236;51;;Sire, I want to work in the service of your dreams!;Sire, voglio lavorare al servizio dei tuoi sogni!;
1700;7292;10;;Very well.;Ottimo.;
