60496;128887;5;15 minutes pass;Passano 15 minuti
92880;128887;5;15 minutes pass;Passano 15 minuti
30924;128903;5;20 turns pass;Passano 20 giri
32336;128903;1;20 turns pass;Passano 20 giri
33044;128903;1;20 turns pass;Passano 20 giri
33748;128903;15;20 turns pass;Passano 20 giri
35156;128903;15;20 turns pass;Passano 20 giri
35860;128903;15;20 turns pass;Passano 20 giri
36564;128903;15;20 turns pass;Passano 20 giri
37264;128903;15;20 turns pass;Passano 20 giri
37976;128903;15;20 turns pass;Passano 20 giri
38680;128903;15;20 turns pass;Passano 20 giri
39376;128903;15;20 turns pass;Passano 20 giri
40084;128903;15;20 turns pass;Passano 20 giri
40788;128903;15;20 turns pass;Passano 20 giri
41492;128903;15;20 turns pass;Passano 20 giri
42196;128903;15;20 turns pass;Passano 20 giri
42900;128903;15;20 turns pass;Passano 20 giri
43604;128903;15;20 turns pass;Passano 20 giri
44308;128903;15;20 turns pass;Passano 20 giri
45712;128903;15;20 turns pass;Passano 20 giri
46420;128903;15;20 turns pass;Passano 20 giri
47120;128903;15;20 turns pass;Passano 20 giri
47824;128903;15;20 turns pass;Passano 20 giri
48532;128903;15;20 turns pass;Passano 20 giri
49232;128903;15;20 turns pass;Passano 20 giri
49940;128903;15;20 turns pass;Passano 20 giri
51348;128903;15;20 turns pass;Passano 20 giri
52052;128903;15;20 turns pass;Passano 20 giri
52756;128903;15;20 turns pass;Passano 20 giri
53460;128903;15;20 turns pass;Passano 20 giri
54164;128903;15;20 turns pass;Passano 20 giri
54868;128903;15;20 turns pass;Passano 20 giri
55572;128903;15;20 turns pass;Passano 20 giri
56276;128903;15;20 turns pass;Passano 20 giri
56980;128903;15;20 turns pass;Passano 20 giri
68940;128903;5;20 turns pass;Passano 20 giri
69644;128903;5;20 turns pass;Passano 20 giri
70348;128903;5;20 turns pass;Passano 20 giri
71052;128903;5;20 turns pass;Passano 20 giri
71764;128903;15;20 turns pass;Passano 20 giri
72468;128903;15;20 turns pass;Passano 20 giri
73172;128903;15;20 turns pass;Passano 20 giri
73876;128903;15;20 turns pass;Passano 20 giri
74580;128903;15;20 turns pass;Passano 20 giri
75284;128903;15;20 turns pass;Passano 20 giri
75988;128903;15;20 turns pass;Passano 20 giri
76692;128903;15;20 turns pass;Passano 20 giri
77396;128903;15;20 turns pass;Passano 20 giri
78100;128903;15;20 turns pass;Passano 20 giri
78804;128903;15;20 turns pass;Passano 20 giri
79508;128903;15;20 turns pass;Passano 20 giri
80212;128903;15;20 turns pass;Passano 20 giri
80916;128903;15;20 turns pass;Passano 20 giri
81620;128903;15;20 turns pass;Passano 20 giri
82324;128903;15;20 turns pass;Passano 20 giri
83028;128903;15;20 turns pass;Passano 20 giri
83732;128903;14;20 turns pass;Passano 20 giri
60492;128917;5;7 turns pass;Passano 7 turni
92876;128917;5;7 turns pass;Passano 7 turni
34440;128930;15;@fcfff00000:10 turns pass@fci:;@fcfff00000:10 giri passano@fci:
31632;128961;1;@fcfff00000:20 turns pass@fci:;@fcfff00000:20 giri passano@fci:
31628;128992;1;@fcfff00000:Alicia dies@fci:;@fcfff00000:Alicia muore@fci:
37256;128992;15;@fcfff00000:Alicia dies@fci:;@fcfff00000:Alicia muore@fci:
33740;129021;15;@fcfff00000:All ally soldiers and reserves are killed@fci:;@fcfff00000:Tutti i soldati alleati e le riserve sono stati uccisi@fci:
