215860;336865;;72mm Anti-Armor
129156;336881;;72mm Cannon
129160;336881;;72mm Cannon
216116;336893;;72mm Mortar
174128;336905;;82mm Anti-Armor
174132;336905;;82mm Anti-Armor
217396;336905;;82mm Anti-Armor
129028;336921;;82mm Cannon
129032;336921;;82mm Cannon
175156;336933;;82mm Mortar
218676;336933;;82mm Mortar
113556;336945;;?
112356;336947;;???
141336;336947;;???
141688;336947;;???
142040;336947;;???
142392;336947;;???
142744;336947;;???
143096;336947;;???
143448;336947;;???
143800;336947;;???
144152;336947;;???
144504;336947;;???
144856;336947;;???
145208;336947;;???
145560;336947;;???
145912;336947;;???
146264;336947;;???
146616;336947;;???
146968;336947;;???
147320;336947;;???
148024;336947;;???
148376;336947;;???
155768;336947;;???
156120;336947;;???
215092;336947;;???
263476;336947;;???
263732;336947;;???
122984;336951;;A disciplined work ethic occasionally enables them//to take a second action after attacking.
123176;337044;;A lackluster commitment to weapons maintenance//occasionally leaves them unable to attack.
126248;337135;;A set percentage of the time, all shots that connect//deal critical damage.
128996;337211;;AP
106008;337214;;Aaron
96008;337220;;Abbott
128964;337227;;Accuracy
125860;337236;;Accuracy Boost
173360;337251;;Accuracy Boost 1
173616;337251;;Accuracy Boost 1
184112;337268;;Accuracy Boost 10
194352;337268;;Accuracy Boost 10
175408;337286;;Accuracy Boost 2
175920;337286;;Accuracy Boost 2
175664;337303;;Accuracy Boost 3
190768;337303;;Accuracy Boost 3
182576;337320;;Accuracy Boost 4
192816;337320;;Accuracy Boost 4
182832;337337;;Accuracy Boost 5
193072;337337;;Accuracy Boost 5
183088;337354;;Accuracy Boost 6
193328;337354;;Accuracy Boost 6
183344;337371;;Accuracy Boost 7
193584;337371;;Accuracy Boost 7
183600;337388;;Accuracy Boost 8
193840;337388;;Accuracy Boost 8
183856;337405;;Accuracy Boost 9
194096;337405;;Accuracy Boost 9
123320;337422;;Accuracy is improved after sighting an enemy.
119284;337468;;Acrobat
119332;337476;;Acrophobic
106212;337487;;Adams
203824;337493;;Added Effect 1
185904;337508;;Added Effect 10
190256;337508;;Added Effect 10
197680;337508;;Added Effect 10
204080;337524;;Added Effect 2
204336;337539;;Added Effect 3
184368;337554;;Added Effect 4
188720;337554;;Added Effect 4
196144;337554;;Added Effect 4
204592;337554;;Added Effect 4
184624;337569;;Added Effect 5
188976;337569;;Added Effect 5
196400;337569;;Added Effect 5
204848;337569;;Added Effect 5
184880;337584;;Added Effect 6
189232;337584;;Added Effect 6
196656;337584;;Added Effect 6
205104;337584;;Added Effect 6
185136;337599;;Added Effect 7
189488;337599;;Added Effect 7
196912;337599;;Added Effect 7
205360;337599;;Added Effect 7
185392;337614;;Added Effect 8
189744;337614;;Added Effect 8
197168;337614;;Added Effect 8
185648;337629;;Added Effect 9
190000;337629;;Added Effect 9
197424;337629;;Added Effect 9
131972;337644;;Additional Armor
131976;337644;;Additional Armor
164168;337661;;Aft Left Gun
164172;337661;;Aft Left Gun
164792;337661;;Aft Left Gun
164796;337661;;Aft Left Gun
164584;337674;;Aft Right Gun
164588;337674;;Aft Right Gun
122120;337688;;After the last bullet is fired, anxiety sets in,//causing a drop in attack power.
94724;337770;;Aged Gentleman
94732;337770;;Aged Gentleman
94736;337770;;Aged Gentleman
94740;337770;;Aged Gentleman
120676;337785;;Aichmophobic
97764;337798;;Aika
97772;337798;;Aika
97776;337798;;Aika
97784;337798;;Aika
116260;337803;;Aim Boost
96644;337813;;Aisha
96652;337813;;Aisha
96656;337813;;Aisha
96664;337813;;Aisha
106012;337819;;Alan
106016;337824;;Alec
95924;337829;;Alex
95932;337829;;Alex
95936;337829;;Alex
81960;337834;;Alicia
81968;337834;;Alicia
89604;337834;;Alicia
89612;337834;;Alicia
89616;337834;;Alicia
89624;337834;;Alicia
92484;337834;;Alicia
92492;337834;;Alicia
92496;337834;;Alicia
92500;337834;;Alicia
92564;337834;;Alicia
92572;337834;;Alicia
92576;337834;;Alicia
92580;337834;;Alicia
100324;337834;;Alicia
100332;337834;;Alicia
100336;337834;;Alicia
100484;337834;;Alicia
100492;337834;;Alicia
100496;337834;;Alicia
101204;337834;;Alicia
101212;337834;;Alicia
101216;337834;;Alicia
101220;337834;;Alicia
121060;337841;;Alicia Hater
121012;337854;;Alicia Lover
100504;337867;;Alicia_SelfGuard
100344;337884;;Alicia_val
117700;337895;;All Heal
116356;337904;;All Units Aim
117988;337904;;All Units Aim
115204;337918;;All Units Attack
117604;337918;;All Units Attack
117892;337918;;All Units Attack
115972;337935;;All Units Defend
118084;337935;;All Units Defend
114724;337952;;All Units Evade
117796;337952;;All Units Evade
126008;337968;;All attack parameters enjoy a boost when shooting with//no one else nearby.
95944;338044;;Alles
126680;338050;;Always a fast healer for some reason, she occasionally//notices that she's completely recovered from injury.
95844;338159;;Ambassador
95852;338159;;Ambassador
95856;338159;;Ambassador
95860;338159;;Ambassador
147672;338159;;Ambassador
124180;338170;;Ambush Spotter
128980;338185;;Ammo
125236;338190;;Ammo Refill
126388;338190;;Ammo Refill
122116;338202;;Ammo Worries
177460;338215;;Ammunition pack
178228;338215;;Ammunition pack
125096;338231;;An acquired tolerance to toxins renders them immune to//status ailments.
125528;338231;;An acquired tolerance to toxins renders them immune to//status ailments.
118952;338304;;An allergy to dust and sand leads to a steady drain of//HP while in a sandy area.
106208;338386;;Anderton
217392;338395;;Anti-Armor 2
129924;338408;;Anti-Armor Rounds
129928;338408;;Anti-Armor Rounds
136708;338408;;Anti-Armor Rounds
136712;338408;;Anti-Armor Rounds
216372;338408;;Anti-Armor Rounds
217652;338408;;Anti-Armor Rounds
217908;338408;;Anti-Armor Rounds
129920;338426;;Anti-Armor Shell 1
136704;338426;;Anti-Armor Shell 1
130560;338445;;Anti-Armor Shell 2
137088;338445;;Anti-Armor Shell 2
130816;338464;;Anti-Armor Shell 3
166244;338483;;Anti-Tank Cannon
166252;338483;;Anti-Tank Cannon
168328;338500;;Anti-Tank Turret
168332;338500;;Anti-Tank Turret
168340;338500;;Anti-Tank Turret
172488;338500;;Anti-Tank Turret
172492;338500;;Anti-Tank Turret
172500;338500;;Anti-Tank Turret
124708;338517;;Anti-armor Boost
116068;338534;;Antidote
126584;338543;;Any time Alicia is at his side, he is filled with the//warmth of their love, boosting his abilities.
127016;338644;;Any time his feet touch the bountiful earth, his love of//veggies drives his parameters up.
101936;338736;;Armor Upgrade 1
102368;338752;;Armor Upgrade 10
101984;338769;;Armor Upgrade 2
102032;338785;;Armor Upgrade 3
102080;338801;;Armor Upgrade 4
102128;338817;;Armor Upgrade 5
102176;338833;;Armor Upgrade 6
102224;338849;;Armor Upgrade 7
102272;338865;;Armor Upgrade 8
102320;338881;;Armor Upgrade 9
129284;338897;;Armor-Grade Steel
129288;338897;;Armor-Grade Steel
129540;338897;;Armor-Grade Steel
129544;338897;;Armor-Grade Steel
113748;338915;;Armored Railcar
171240;338931;;Armored Tower
171244;338931;;Armored Tower
169988;338945;;Armored Vehicle
116836;338961;;Artillery Support
115108;338979;;Attack Boost
116548;338992;;Attack Weak Spot
123944;339009;;Attack power against human targets is boosted a//set percentage of the time.
124328;339086;;Attack power against human targets is greatly//boosted a set percentage of the time.
124232;339171;;Attack power and defense increase when they enter the//range of enemy interception fire.
125192;339260;;Attacks against tanks have a chance to deal//a lethal blow.
116840;339320;;Attacks all enemy units.
125048;339345;;Attacks have a chance to deal damage to both tank body//and tread HP.
124424;339415;;Attacks have a set chance of preventing the enemy//from counter attacking.
118424;339490;;Attacks have a set probability of being impossible//for enemies to evade.
124280;339490;;Attacks have a set probability of being impossible//for enemies to evade.
