1092;5168;39;;I'm sorry, Welkin...&I'm pulling out...;Mi dispiace, Welkin...&Sto tirando fuori...
1108;5212;58;;Rrgh, this is embarrassing...&Sorry, boss. I'm outta here.;Rrgh, questo > imbarazzante...&Mi dispiace, capo. Me ne vado.
1124;5276;59;;Rrgh, damn it!&The rest is up to you, boss. I'm retreating.;Rrgh, accidenti!&Il resto spetta a te, capo. Io mi ritiro.
1140;5340;32;;Sorry...&I've got to bail out...;Scusa...&Devo andarmene...
1156;5380;56;;The sky looks... so close...&I can... almost touch it...;Il cielo sembra... cosi vicino...&Posso... quasi toccarlo...
1172;5444;70;;This never woulda... happened if...&I hadn't been a... shocktrooper...;Questo non sarebbe mai... successo se...&Non ero mai stato uno... shocktrooper...
1188;5520;80;;Didn't have much... longer anyhow...&I'd rather go out... fightin' for Gallia...;Non ne avevo molto... piu' a lungo comunque...&Preferirei andare... a combattere per la Gallia...
1204;5608;62;;Just... once in my life, I...&I wanted to ride... in a tank...;Solo... una volta nella mia vita, io...&Volevo viaggiare... in un carro armato...
1220;5676;56;;Boss Gunther, it's... up to you...&Beat 'em... for me...;Capo Gunther, la decisione spetta a te...&Battili... per me...
1236;5740;73;;I... I'm dying, aren't I...?&Hope I come back as... less of a screw-up...;Io... sto morendo, non > vero?&Spero di tornare... meno pasticcione...
1252;5820;64;;Heh... Sorry, Aika...&Looks like... my adventure ends... here...;Eh... Scusa, Aika...&Sembra che... la mia avventura finisca... qui...
1268;5892;43;;Ahh... Karl...&I love you... I'll always...;Ahh... Karl...&Ti amo... Ti amero' sempre...
1284;5940;78;;Shooting guns is... lame, eh?&Hurts to shoot people... hurts to... get shot...;Sparare con le pistole >... una cosa noiosa, eh?&Fa male sparare alla gente... fa male... essere colpiti...
1300;6024;75;;A star never... really dies...&She just waits for... her big... comeback...;Una stella non muore mai... veramente...&Lei aspetta solo... il suo grande... ritorno...
1316;6104;73;;Welkin? Help, I'm scared...&Please don't let me... I don't want to die...;Aiuto? Ho paura...&Per favore, non lasciarmi... Non voglio morire...
1332;6184;57;;Damn you... Imps...&I'll haunt the... filthy lot of ya...;Accidenti a voi... Folletti...&Perseguitero'... tutti voi sporchi...
1348;6248;78;;Ugh, if I knew it'd... come to this, I...&would've stayed at home in... bed...;Ugh, se avessi saputo che... saremmo arrivati a questo punto, io...&sarebbe rimasto a casa a... letto...
1364;6332;84;;Rrgh, didn't... train hard enough...&When I get back I'll... work out till I puke...;Rrgh, non ti sei... allenato abbastanza duramente...&Quando tornero'... mi allenero' fino a vomitare...
1380;6424;66;;Hah, looks like even a... veteran war hero...&can't win 'em all...;Ah, sembra proprio un... eroe di guerra veterano...&non si puo' vincere sempre...
1396;6496;79;;H-Here I thought... becoming a soldier'd...&win me points... with the ladies...;H-qui pensavo... diventare un soldato...&guadagnami punti... con le ragazze...
1412;6580;82;;No, damn it... I'm just... starting here...&Hey, Welkin... gimme a... hand here...;No, accidenti... Sto solo... iniziando da qui...&Ehi, Welkin... dammi una... mano qui...
1428;6668;70;;I-Is this... really the punch line...?&If so, I... I'm not laughing...;D-E' davvero questa la battuta finale?&Se > cosi, io... non sto ridendo...
1444;6744;67;;F-Forgive me, I... I can't help...&protect you all... any longer...;P-Perdonami, io... non posso aiutarti...&proteggervi tutti... ancora...
1460;6816;83;;Heh heh... I was always too impatient...&There was... no reason to die this soon...;Eh eh... Sono sempre stato troppo impaziente...&Non c'era... nessun motivo per morire cosi presto...
1476;6904;83;;Welkin, this... this is your fault...!&Alicia darling, I... hoped I'd... see you...;Beh, questa... questa > colpa tua...!&Alicia, cara, io... speravo di... vederti...
1492;6992;82;;Hope I can... make it to heaven... okay...&I've... got no sense of... direction...;Spero di poter... arrivare in paradiso... okay...&Non... ho alcun senso di... orientamento...
1508;7080;89;;Hope I can... make it to the afterlife... okay...&I've... got no sense of... direction...;Spero di poter... arrivare all'aldil=... okay...&Non... ho alcun senso di... orientamento...
1524;7176;78;;Welkin... dress me up... all in white...&I don't want... to be seen... like...;Welkin... vestimi... tutto di bianco...&Non voglio... essere visto... come...
1540;7260;84;;This is why I... detest war...&Too many have... already killed and... been killed...;Ecco perch< io... detesto la guerra...&Troppe persone hanno... gi= ucciso e... sono state uccise...
1556;7352;83;;Wow, my... My body feels so light...&I feel like... I could dance like... a swan...;Wow, mamma mia... Il mio corpo > cosi leggero...&Mi sento come... potrei ballare come... un cigno...
1572;7440;71;;You know, Welkin... I...&I always thought you and... you and I might...;Sai, Welkin... io...&Ho sempre pensato che tu e... tu e io potremmo...
1588;7516;54;;Ugh... sooo lame...&I'm, like... totally dying here...;Ugh... cosi noioso...&Sono tipo... che muoio di rabbia qui...
1604;7576;64;;I can't... leave you, Vyse...&Wonder if I'll... be a... ghost...;Non posso... lasciarti, Vyse...&Chiss= se... diventero'... un fantasma...
1620;7648;73;;Nngh... Largo, I'd always... hoped...&your chest could... be my pillow...;Nngh... Largo, avevo sempre... sperato...&il tuo petto potrebbe... essere il mio cuscino...
1636;7728;42;;Lieutenant, sir...&The rest is... up to...;Tenente, signore...&Il resto... spetta a...
1652;7776;56;;How stupid can I...&Welkin, I wish I... never met you...;Quanto posso essere stupido...&Welkin, vorrei... non averti mai incontrato...
1668;7840;64;;No... Please, no...&I don't want to die... I don't... want to...;No... Per favore, no...&Non voglio morire... Non... voglio...
1684;7912;69;;Boss... everybody... I'm sorry...&Looks like I'm... going on ahead...;Capo... tutti quanti... mi dispiace...&Sembra che io... stia andando avanti...
1700;7988;69;;Ha ha... Guess this is... what I get for...&enlisting... on a whim...;Ah ah... Credo che questo sia... quello che ottengo per...&arruolarsi... per capriccio...
1716;8064;80;;This is what... not enough muscle... gets you...&Let this be a... a lesson to...;Ecco cosa... non avere abbastanza muscoli... ti fa...&Che questa sia una... una lezione per...
1732;8152;56;;S-Sorry, fellas...&I can't look after you... any more...;S-scusate ragazzi...&Non posso piu' prendermi cura di te...
1748;8216;53;;Mmm... All of a sudden I...&I feel... so... sleepy...;Mmm... All'improvviso io...&Mi sento... cosi... assonnato...
1764;8276;59;;What a... waste...&Now I can't... collect my... paycheck...;Che... spreco...&Adesso non posso... riscuotere il mio... stipendio...
1780;8340;46;;Am I... dying...?&Not that I... really care...;Sto... morendo...?&Non che... mi importi davvero...
1796;8392;63;;Lynn... Lynn...?!&I hoped I'd... get a chance to... say good...;"Lynn... Lynn...?!&Speravo di... avere la possibilit= di... dire ""buono""..."
1812;8460;65;;I'm coming, Death...&To claim eternal peace in... your embrace...;Sto arrivando, Morte...&Per rivendicare la pace eterna nel... tuo abbraccio...
1828;8532;59;;Ahh... Miss Alicia?&Where are you? I can't... see anything.;Ahh... signorina Alicia?&Dove sei? Non riesco... a vedere niente.
1844;8596;67;;Am... I going to die...?&I guess that... saves me some...trouble...;Sto... per morire...?&Immagino che questo... mi risparmi un po' di... guai...
1860;8668;69;;I-I pray that... my remains serve...&as a cornerstone for... peace...;Io-io prego che... i miei resti servano...&come pietra angolare per... la pace...
1876;8744;70;;Oh, good, it's... only me... dying.&Finally, my... luck has changed...;Oh, bene, sono... solo io che sto morendo.&Alla fine, la mia... fortuna > cambiata...
