180;608;82;;All right. It's our first mission.&Let's split into two teams: city and riverside.;Bene. E' la nostra prima missione. Dividiamoci in due&squadre: citt= e riva del fiume.
196;696;77;;I'll lead the riverside team towards the&enemy encampment with the Edelweiss.;Condurro' la squadra lungo il fiume verso l'accampamento&nemico con l'Edelweiss.
212;780;43;;Shocktrooper here. Leave the offense to me.;Qui Shocktrooper. Lasciate l'offesa a me.
228;828;81;;City team, your job is to guard the base.&Be ready for anything, including tanks.;Squadra cittadina, il vostro compito > sorvegliare la&base. Siate pronti a tutto, compresi i carri armati.
244;916;81;;City team, your job is to guard the base.&Be ready for anything, including tanks.;Squadra cittadina, il vostro compito > sorvegliare la&base. Siate pronti a tutto, compresi i carri armati.
260;1004;75;;How long you think I been an anti-tank man?&Couple of tanks ain't no sweat!;Da quanto tempo pensi che io sia un uomo anticarro? Un&paio di carri armati non sono niente male!
276;1084;75;;How long you think I been an anti-tank man?&Couple of tanks ain't no sweat!;Da quanto tempo pensi che io sia un uomo anticarro? Un&paio di carri armati non sono niente male!
292;1164;46;;That's the spirit, Largo.&Now, let's move out!;Questo > lo spirito giusto, Largo. E ora muoviamoci!
308;1216;46;;That's the spirit, Largo.&Now, let's move out!;Questo > lo spirito giusto, Largo. E ora muoviamoci!
324;1268;56;;Gah!&Damn tank's busted right through the stinkin' wall!;Cavolo! Quel maledetto carro armato ha sfondato quel&maledetto muro!
340;1332;62;;Well, it's my turn now! &Stick this in your pipe and smoke it!;Bene, ora tocca a me! Mettiti questo nella pipa e fumalo!
356;1400;89;;Stay sharp: tanks can break through crumbling walls,&and trample down sandbags and trees.;Siate attenti: i carri armati possono sfondare muri&pericolanti e calpestare sacchi di sabbia e alberi.
372;1496;89;;Stay sharp: tanks can break through crumbling walls,&and trample down sandbags and trees.;Siate attenti: i carri armati possono sfondare muri&pericolanti e calpestare sacchi di sabbia e alberi.
388;1592;74;;Ha HA! Your tanks ain't the only ones that&can take a moldy old wall down!;Ah ah ah! I tuoi carri armati non sono gli unici in grado&di abbattere un vecchio muro ammuffito!
404;1672;59;;Take down too many walls and you'll lose all&of your cover!;Se abbatti troppi muri perderai tutta la tua copertura!
420;1736;62;;Eh, get off my back!&I'm just improvin' the view here, junior!;Eh, levati di torno! Sto solo migliorando la visuale,&ragazzo!
436;1804;599;; &          About Occupying Camps& &Camps, found across the battlefield, grant&your forces a number of advantages.& &Units stationed near camps get a boost to&their defense and to the amount of HP&recovered at the start of each turn.&Even tanks, which usually get no HP bonus,&will regain some HP at each turn's start.& &Weapons with limited ammo like grenades,&mortars and lances are also replenished.& &If there are enemy units around a camp,&however, you cannot occupy it until they&have been defeated.&Effectively defending your camps while&taking down the enemy's will pave your&way to victory.;&Informazioni sui campi di occupazione&&Gli accampamenti, che si trovano sul campo di battaglia, garantiscono&le vostre forze una serie di vantaggi.&&Le unit= di stanza vicino ai campi ricevono una spinta per&la loro difesa e alla quantit= di HP&recuperato all'inizio di ogni turno.&Anche i carri armati, che di solito non ottengono bonus HP,&recuperer= alcuni HP all'inizio di ogni turno.&&Armi con munizioni limitate come le granate,&vengono riforniti anche mortai e lance.&&Se ci sono unit= nemiche attorno ad un accampamento,&tuttavia, non puoi occuparlo finch< non lo&sono stati sconfitti.&Difendere efficacemente i tuoi accampamenti mentre&abbattere la volont= del nemico spianer= la tua&strada verso la vittoria.
452;2408;543;; &            About Leader Units& &A CP symbol is displayed beside the names&of some units on their profile window.& &These units are known as leaders, and they&exist among both allied and enemy forces.&In Squad 7, Alicia is one such leader.&By including them on the field they'll&each add one CP to your total, allowing&you to control more units per turn.&If a leader is defeated, however,&that CP is subtracted from the pool.& &Keep your leader units protected while&actively seeking out and destroying&enemy leaders to reduce their CP pool.;&Informazioni sulle unit= leader&&Accanto ai nomi viene visualizzato il simbolo CP&di alcune unit= nella finestra del loro profilo.&&Queste unit= sono note come leader e&esistono sia tra le forze alleate che tra quelle nemiche.&Nella Squadra 7, Alicia > una di queste leader.&Includendoli nel campo,&ognuno aggiunge un CP al tuo totale, consentendo&di controllare piu' unit= per turno.&Se un leader viene sconfitto, tuttavia,&che CP viene sottratto dal pool.&&Mantieni protette le tue unit= leader mentre&cercando attivamente e distruggendo&leader nemici per ridurre il loro pool di CP.
468;2956;548;;" &               About Orders& &As Squad 7's leader, Welkin is able to&issue special commands called ""orders.""& &Orders cost CP to use, but some yield&squad-wide effects that can be invaluable&when used wisely.&To issue an order, open the menu in&Command Mode by pressing the ¢ button,&then select ""Orders.""&Choose a specific order you'd like to&issue. Some orders will affect all units,&others require you to select a target.&New orders can be learned by leveling up&your unit classes on the training field.&They'll make the battles ahead easier.";"&Informazioni sugli ordini&&In qualit= di leader della Squadra 7, Welkin > in grado di&impartire comandi speciali chiamati ""ordini"".&&Gli ordini costano CP per essere utilizzati, ma alcuni danno un rendimento&effetti a livello di squadra che possono essere inestimabili&se usato saggiamente.&Per emettere un ordine, aprire il menu in&Modalit= di comando premendo il pulsante ¢,&quindi seleziona ""Ordini"".&Scegli un ordine specifico che desideri&problema. Alcuni ordini avranno effetto su tutte le unit=,&altri richiedono di selezionare un bersaglio.&I nuovi ordini possono essere appresi salendo di livello&le tue lezioni di unit= sul campo di addestramento.&Renderanno piu' facili le battaglie future."
484;3512;21;;About Terrain Actions;Informazioni sulle azioni del terreno
500;3540;318;;Near some locations on the battlefield,&special actions will become available by&pressing Enter as specified.&For example, units walking through grass&can select Crawl to hide within it, out of&view from enemy attackers.&Also, climbing a ladder can allow the&unit roof access. Keep an eye out for&other useful actions.;Vicino ad alcune localit= del campo di battaglia,&le azioni speciali saranno disponibili entro&premendo Invio come specificato.&Ad esempio, unit= che camminano sull'erba&puoi selezionare Striscia per nasconderti al suo interno, fuori&vista degli aggressori nemici.&Inoltre, salire su una scala puo' consentire l'&accesso al tetto dell'unit=. Tieni d'occhio&altre azioni utili.
516;3864;12;;About Medics;Informazioni sui medici
532;3884;441;;Units whose HP have reached zero fall to&the ground in critical condition and&cannot be controlled using CP.&Leaving a unit in this state for three&turns, or allowing an enemy to touch them,&results in their being incapacitated.&Except in very few exceptional cases,&this means that the soldier is dead and&unable to be used again.&In order to prevent this, an&ally must make contact with the downed&unit before this tragic end befalls them.;Le unit= i cui HP hanno raggiunto zero cadono a&il terreno in condizioni critiche e&non puo' essere controllato tramite CP.&Lasciare un'unit= in questo stato per tre&si girano, o permettono a un nemico di toccarli,&si traduce nella loro incapacit=.&Salvo rarissimi casi eccezionali,&questo significa che il soldato > morto e&non puo' essere piu' utilizzato.&Per evitare cio', un&l'alleato deve entrare in contatto con l'abbattuti&unit= prima che questa tragica fine li colpisca.
548;4332;121;;When a unit reaches an ally in critical&condition, they call the medic, who safely&evacuates and restores them to health.;Quando un'unit= raggiunge un alleato in condizioni critiche&condizione, chiamano il medico, che in sicurezza&li evacua e li rimette in salute.
564;4460;0;; &             About Ammunition& &Each weapon holds a set quantity of ammo.&That equates to the number of times that&weapon can be fired in battle.;&Informazioni sulle munizioni&&Ogni arma contiene una determinata quantit= di munizioni.&Cio' equivale al numero di volte in cui&l'arma puo' essere usata in battaglia.
