448;1948;10;;Nn-ahhh...;Nn-ahhh...
464;1964;38;;Seeing that old mill spinning again...;Vedere quel vecchio mulino girare di nuovo...
480;2008;43;;really makes it feel like home, sweet home.;ti fa davvero sentire a casa, dolce casa.
496;2056;19;;Ha ha. I hear that.;Ah ah. Hai proprio ragione.
512;2080;62;;It really is one of the most beautiful things about this&town.;E' davvero una delle cose piu' belle di questa&citt=.
528;2148;45;;Well citizens, our enemy can't be far behind.;Ebbene, cittadini, il nostro nemico non puo' essere lontano.
544;2200;50;;I thank you for your help. Goodbye, and take care.;Grazie per il tuo aiuto. Arrivederci e abbi cura di te.
560;2256;34;;How's the packing coming along Is?;Come procede il lavoro di imballaggio, Is?
576;2296;53;;Almost done.&I only need to take the everyday basics.;Quasi finito.&Ho solo bisogno di raccogliere i generi di prima necessit=.
592;2356;69;;Well, the Empire's got to be close by.&Let's hit the road by sundown.;Be, l'Impero si star= avvicinando, ormai.&Meglio partire al tramonto.
608;2432;28;;Martha, look.&Welks is here.;Martha, guarda.&C'> Welks.
624;2468;26;;Ohh, welcome back Welkies!;Ohh, ben tornato Welkies!
640;2500;55;;You're still calling me that?&Martha, I'm 22 years old!;Mi chiami ancora cosi?&Martha, ho 22 anni!
656;2560;80;;And more important, you shouldn't be running around!&Aren't you due any day now?;E, cosa piu' importante, non dovresti andartene in giro cosi!&Non dovrebbe nascere da un giorno all'altro?
672;2648;89;;Aww, a light jog won't hurt the little spud.&I should know, I've already had four of 'em!;Aww, una corsetta non far= male al piccoletto.&Dovrei saperlo, ne ho gi= avuti quattro!
688;2744;32;;Hello there.&Um... is Welkin in?;Salve.&Ehm... c'> Welkin?
704;2784;39;;Oh, hello Alicia.&What brings you here?;Oh, ciao Alicia.&Cosa ti porta qui?
720;2828;68;;I just wanted to apologize... for before.&Um, here! This is for you.;Volevo solo scusarmi... per prima.&Um, tieni! E' per te.
736;2904;25;;Really? These are for me?;Davvero? Sono per me?
752;2936;87;;I work at the bakery.&Well, I did until the&war started anyway. It's where I live, too.;Io lavoro alla panetteria.&O meglio, ci lavoravo prima che la guerra&iniziasse. E' anche il posto dove vivo.
768;3028;85;;That's preserved bread, so it's pretty hard.&Heat it up before you eat it, all right?;E' pane conservato, quindi > piuttosto duro.&Riscaldalo prima di mangiarlo, d'accordo?
784;3120;65;;I baked it myself, so the flavor's guaranteed.&Best you ever had!;L'ho impastato io stessa, quindi il sapore > garantito.&Il migliore che tu abbia mai provato!
800;3192;35;;Thanks.&Uh, do you want to come in?;Grazie.&Uh, vuoi entrare?
816;3232;76;;Arrested AND shot at?&Hah.&You've had a busy day of it, haven't you Welkies?;Arrestato E PURE finito sotto il fuoco nemico?&Hah.&Hai avuto una giornata impegnativa, eh Welkies?
832;3316;74;;And what a lovely lady you are for all that adventuring.&Good job Welkies!;E che signorina adorabile ti sei trovato per quest'avventura.&Ottimo lavoro, Welkies!
848;3396;5;;What?;Cosa?
864;3408;68;;Wait, no! It's not like that.&Alicia just saved my skin, that's all.;Aspetta, no! Non > cosi.&Alicia mi ha solo salvato la pelle, tutto qui.
