240;908;53;;All right, that's everyone.&Ready to move out, squad?;Tr>s bien, tout le monde est l=.&Pr$t = y aller, escouade?;
256;968;35;;You're crazy. You know that, right?;Tu es fou.&Tu le sais ca, hein?;
272;1008;75;;Incoming message from Squad 1 leader Faldio&Landzaat on the west bank, sir.;Message en provenance du chef de l'escouade 1&Faldio Landzaat sur la rive ouest, monsieur.;
288;1088;84;;Enemy company in motion, presumed headed&east across the bridge toward our position.;Compagnie ennemie en mouvement, pr<sum<e allant&vers l'est sur le pont vers notre position.;
304;1180;39;;A full company? That's bad news for us.;Une compagnie compl>te?&C'est une mauvaise nouvelle pour nous.;
320;1224;76;;We'll have to move fast.&We're taking that camp before the cavalry rolls in!;Nous devons agir vite. Nous allons prendre ce camp&avant que la cavalerie d<boule!;
336;1308;47;;What's all that noise? &Has something happened?;C'est quoi ce bruit?&Est-il arriv< quelque chose?;
352;1360;76;;"Emergency wire from alpha camp, sir!&""Under attack, request reinforcements!""";Com d'urgence du camp alpha, monsieur! £Sommes attaquez, besoin de renfort!£;
368;1444;79;;What?! How did Gallia get across?!&Agh, go wake the men up! Get out there, now!;Quoi ?! Comment Gallia a fait pour passer ?!&Agh, allez r<veiller les hommes! Foncez, maintenant!;
384;1528;80;;Come in, alpha camp. Alpha camp, respond.&We heard gunshots. Report your status!;Parlez, camp alpha. Camp Alpha, r<pondez.&Nous avons entendu des coups de feu. Signaler votre statut!;
400;1616;80;;Come in, alpha camp. Alpha camp, respond.&We heard gunshots. Report your status!;Parlez, camp alpha. Camp Alpha, r<pondez.&Nous avons entendu des coups de feu. Signaler votre statut!;
416;1704;46;;Welks, I've intercepted an enemy transmission.;Welks, j'ai intercept< une transmission de l'ennemi.;
432;1756;76;;There's nobody left at their camp to respond,&now that we've cleared it out.;Il n'y a plus personne dans leur camp pour r<pondre,&maintenant que nous l'avons nettoy<.;
448;1840;79;;This is bad. It's only a matter of time&before they send in reinforcements now.;C'est mauvais. Ce n'est qu'une question de temps avant&qu'ils envoient des renforts maintenant.;
464;1924;84;;This is alpha camp. A patrol unit had a misfire.&Condition green. Relax, we're fine.;Ici le camp alpha. Une unit< en patrouille a eu un rat<.&Condition verte. D<tendez-vous, nous allons bien.;
480;2016;84;;This is alpha camp. A patrol unit had a misfire.&Condition green. Relax, we're fine.;Ici le camp alpha. Une unit< en patrouille a eu un rat<.&Condition verte. D<tendez-vous, nous allons bien.;
496;2108;89;;Understood. Well, you guys keep the fires lit&'til it's time for our shift. Over and out.;Compris. Eh bien,les gars, gardez votre flamme bien allum<e,&c'est l'heure de notre rel>ve. Termin<.;
512;2204;89;;Understood. Well, you guys keep the fires lit&'til it's time for our shift. Over and out.;Compris. Eh bien,les gars, gardez votre flamme bien allum<e,&c'est l'heure de notre rel>ve. Termin<.;
528;2300;53;;Whew...&Apologies for acting without permission, sir.;Ouf... &Mes excuses pour avoir agit sans permission, monsieur.;
544;2360;21;;That was amazing, Is!;C'<tait incroyable, Is!;
560;2388;84;;Between the squad's fast action and that fast talking,&we saved ourselves some heat.;Entre l'action rapide de l'escouade et ce baratinage,&nous nous sommes <vit<s des ennuis.;
576;2480;55;;S-Sir!&Gallian commandos have occupied alpha camp, sir!;S-Sir! Des commandos de Gallia ont occup< le camp alpha,&monsieur!;
592;2540;61;;What?&Alpha camp reported their status green not minutes ago!;Quoi? Le camp Alpha a signal< un statut vert&il y a quelques minutes!;
608;2608;78;;Y-Yes, but... Thinking back on it,&I didn't recognize the voice on the line...;O-Oui, mais...&En y repensant, je n'ai pas reconnu la voix sur la ligne ...;
624;2692;37;;Damn it! Feed me misinformation, huh?;Bon sang! On m'inflige de la d<sinformation, hein?;
640;2736;70;;I want every last man we have out there!&Bring me those Gallian heads!;Je veux que tous les hommes soient dehors!&Apportez-moi les t$tes de ces Gallien!;
656;2812;84;;Incoming dispatch from Squad 1, sir.&That enemy company is almost across the bridge!;R<ception message de l'Escouade 1, monsieur.&Cette compagnie ennemie est presque sur le pont!;
672;2904;29;;Rgh, our time is running out!;Rgh, notre temps est compt<!;
688;2940;67;;Nice work!&We've occupied the enemy encampment at the bridge's end!;Beau travail! Nous avons occup< le camp ennemi&= l'extr<mit< du pont!;
704;3012;39;;Drawbridge control room secured, Welks.;Salle de controle du Pont-levis s<curis<e, Welks.;
720;3056;39;;Drawbridge control room secured, Welks.;Salle de controle du Pont-levis s<curis<e, Welks.;
736;3100;68;;Excellent. Open it up, Is!&Let's see how their tanks like the river!;Excellent. Ouvre le, Is!&Voyons comment leurs chars appr<cient la rivi>re!;
752;3176;68;;Excellent. Open it up, Is!&Let's see how their tanks like the river!;Excellent. Ouvre le, Is!&Voyons comment leurs chars appr<cient la rivi>re!;
768;3252;9;;Yes, sir!;Oui, monsieur!;
784;3268;9;;Yes, sir!;Oui, monsieur!;cela signifie que le soldat est mort et incapable d'être utilisé A nouveau. Afin d'éviter cela, un allié doit prendre contact avec l'unité abattu avant cette fin tragique leur arrive.
800;3284;50;;Ragnite turbines on!&Stand by to raise drawbridge!;Turbines Ragnite allum<es!&En attente pour lever le pont-levis!;(Medics) qui évacue et restaure leur santé en toute sécurité.
