1232;2290;;On the Gallian Front, given;;Sul fronte gallico, dato
752;2320;;A depiction of the city adorns;;Una raffigurazione della citt= adorna
816;2351;;An image of the citadel adorns;;Un'immagine della cittadella adorna
848;2382;;Awarded only four times thus;;Assegnato solo quattro volte in questo modo
1288;2411;;Based on the Valkyrian lance,;;Basato sulla lancia Valkyrian,
1256;2441;;Based on the Valkyrian shield,;;Basato sullo scudo Valkyrian,
1156;2472;;Excellence in Armament;;Eccellenza negli armamenti
1124;2495;;Excellence in Leadership;;Eccellenza nella leadership
1188;2520;;Excellence in Technology;;Eccellenza nella tecnologia
740;2545;;Fouzen Service Medal;;Medaglia al servizio di Fouzen
1320;2566;;Gallia's highest honor, begun;;Il piu' alto onore della Gallia, iniziato
1220;2596;;Gallian Front Commemorative;;Commemorativo del Fronte Galliano
708;2624;;Gallian Medal of Honor;;Medaglia d'onore Gallian
804;2647;;Ghirlandaio Service Medal;;Medaglia al servizio del Ghirlandaio
936;2673;;Given to Bronze Arms awardees;;Assegnato ai vincitori del premio Bronze Arms
968;2703;;Given to Silver Arms awardees;;Assegnato ai vincitori del premio Silver Arms
712;2733;;Given to a Gallian who has;;Dato a un Galliano che ha
840;2760;;Given to a person who helped;;Dato a una persona che ha aiutato
872;2789;;Given to a soldier who has;;Dato a un soldato che ha
1032;2816;;Given to a soldier wounded;;Dato a un soldato ferito
904;2843;;Given to a squad that has;;Dato a una squadra che ha
1096;2869;;Given to all members of a;;Dato a tutti i membri di un
1128;2895;;Given to an officer who has;;Dato a un ufficiale che ha
744;2923;;Given to participants in the;;Fornito ai partecipanti al
776;2923;;Given to participants in the;;Fornito ai partecipanti al
808;2923;;Given to participants in the;;Fornito ai partecipanti al
1224;2952;;Made to celebrate the initial;;Realizzato per celebrare l'iniziale
772;2982;;Naggiar Service Medal;;Medaglia al servizio di Naggiar
1060;3004;;Order of the Golden Wings;;Ordine delle Ali Dorate
1284;3030;;Order of the Holy Lance;;Ordine della Sacra Lancia
1252;3054;;Order of the Holy Shield;;Ordine dello Scudo Sacro
1000;3079;;Presented to a squad or team;;Presentato a una squadra o a un team
1160;3108;;Presented to a squad shown;;Presentato a una squadra mostrata
1192;3135;;Presented to a squad shown to;;Presentato a una squadra mostrata a
1064;3165;;Presented to a squad that has;;Presentato a una squadra che ha
1316;3195;;Randgriz Crest of Honor;;Stemma d'onore Randgriz
836;3219;;Savior of Gallia;;Salvatore della Gallia
900;3236;;The Bronze Arms of Gallia;;Le armi di bronzo della Gallia
1028;3262;;The Crimson Heart;;Il cuore cremisi
964;3280;;The Golden Arms of Gallia;;Le armi dorate della Gallia
868;3306;;The Lance of Gallia;;La lancia della Gallia
932;3326;;The Silver Arms of Gallia;;Le armi d'argento della Gallia
996;3352;;The Splintered Horn;;Il corno scheggiato
1092;3372;;The Wings of Solidarity;;Le ali della solidariet=
720;3396;;a military or civilian office.;;un ufficio militare o civile.
1040;3427;;among Gallia's oldest honors;;tra gli onori piu' antichi della Gallia
1136;3456;;as a leader through mastery of;;come leader attraverso la padronanza di
748;3487;;battle to liberate Fouzen.;;battaglia per liberare Fouzen.
1076;3514;;battlefield experience.;;esperienza sul campo di battaglia.
1324;3538;;by House Randgriz. Given only;;da Casa Randgriz. Fornito solo
1332;3568;;complete military mastery.;;completa padronanza militare.
780;3595;;confrontation at Naggiar. A;;scontro a Naggiar. Un
1012;3623;;decorations still issued.;;decorazioni ancora rilasciate.
908;3649;;defeated more than 250 enemies;;sconfitto piu' di 250 nemici
880;3680;;defeating an elite officer of;;sconfiggere un ufficiale d'<lite di
948;3710;;defense of their homeland.;;difesa della loro patria.
980;3710;;defense of their homeland.;;difesa della loro patria.
1132;3737;;demonstrated remarkable skill;;ha dimostrato una notevole abilit=
1168;3767;;effective arsenal through hard;;arsenale efficace attraverso il duro
1204;3798;;exhaustive development.;;sviluppo esaustivo.
852;3822;;far, once to General Gunther.;;lontano, una volta al generale Gunther.
1196;3852;;have assembled exemplary tanks;;hanno assemblato carri armati esemplari
916;3883;;homeland.;;patria.
912;3893;;in the defense of their;;nella difesa dei loro
1036;3917;;in the line of duty. It stands;;nell'adempimento del dovere. Si erge
1260;3948;;it is presented to a squad;;viene presentato ad una squadra
1292;3948;;it is presented to a squad;;viene presentato ad una squadra
784;3975;;likeness of the plains adorns;;somiglianza delle pianure adorna
1236;4005;;only to those it chronicles.;;solo a coloro di cui racconta la storia.
876;4034;;performed exceptionally, as by;;eseguito in modo eccezionale, come da
716;4065;;performed exemplary service in;;ha svolto un servizio esemplare in
1228;4096;;publication of the completed;;pubblicazione del completato
1068;4125;;reached exceptional levels of;;ha raggiunto livelli eccezionali di
812;4155;;recapturing of Ghirlandaio.;;riconquista del Ghirlandaio.
844;4183;;save Gallia in times of need.;;salvare la Gallia nei momenti di bisogno.
1264;4213;;shown to have earned victory;;ha dimostrato di aver guadagnato la vittoria
1296;4213;;shown to have earned victory;;ha dimostrato di aver guadagnato la vittoria
1072;4242;;skill through training and;;abilit= attraverso la formazione e
1104;4269;;solidarity and excellence in;;solidariet= ed eccellenza nella
1100;4298;;squad that has displayed;;squadra che ha mostrato
1008;4323;;stands among Gallia's oldest;;si trova tra i piu' antichi della Gallia
1044;4352;;still being presented.;;ancora in fase di presentazione.
1108;4375;;teamwork.;;lavoro di squadra.
1140;4385;;the art of command.;;l'arte del comando.
884;4405;;the opposing army.;;l'esercito avversario.
756;4424;;this commemorative medal.;;questa medaglia commemorativa.
788;4424;;this commemorative medal.;;questa medaglia commemorativa.
820;4424;;this commemorative medal.;;questa medaglia commemorativa.
1200;4450;;through tireless work and;;attraverso un lavoro instancabile e
1164;4476;;to have procured a robust and;;di aver procurato un robusto e
1328;4506;;to heroes who demonstrate;;agli eroi che dimostrano
1004;4532;;to honor a fallen member. It;;per onorare un membro deceduto.
976;4561;;total of 1,000 enemies in the;;totale di 1.000 nemici nel
944;4591;;total of 500 enemies in the;;totale di 500 nemici nel
940;4619;;who have gone on to defeat a;;che hanno continuato a sconfiggere un
972;4619;;who have gone on to defeat a;;che hanno continuato a sconfiggere un
1300;4648;;with exceptional speed. ;;con una velocit= eccezionale.
1268;4673;;without a single casualty. ;;senza una sola vittima.
1172;4701;;work and thorough development.;;lavoro e sviluppo approfondito.
